Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
19-10-2017,289,48,49,284.853,36,0,0,2,2
20-10-2017,291,31,40,284.853,25,0,1,1,1
24-10-2017,225,26,28,284.853,24,0,1,2,2
24-10-2017,369,17,31,284.853,25,0,3,0,8
24-10-2017,369,17,31,284.853,25,0,3,0,3
24-10-2017,225,26,28,284.853,24,0,1,2,4
24-10-2017,369,17,31,284.853,25,0,3,0,8
25-10-2017,179,51,38,284.853,31,0,0,0,3
25-10-2017,228,14,58,284.853,22,0,2,1,1
25-10-2017,291,31,40,284.853,25,0,1,1,1
26-10-2017,369,17,31,284.853,25,0,3,0,8
26-10-2017,225,26,28,284.853,24,0,1,2,1
27-10-2017,369,17,31,284.853,25,0,3,0,8
27-10-2017,225,26,28,284.853,24,0,1,2,3
29-10-2017,189,29,33,284.853,25,0,2,2,8
29-10-2017,235,16,32,284.853,25,1,0,0,8
29-10-2017,248,25,47,284.853,32,0,2,1,8
29-10-2017,225,26,28,284.853,24,0,1,2,0
31-10-2017,225,26,28,284.853,24,0,1,2,3
07-11-2017,179,51,38,268.519,31,0,0,0,1
08-11-2017,118,10,37,268.519,28,0,0,0,3
08-11-2017,330,16,28,268.519,25,1,0,0,24
10-11-2017,179,51,38,268.519,31,0,0,0,1
14-11-2017,118,10,37,268.519,28,0,0,0,8
15-11-2017,289,36,33,268.519,30,0,2,1,8
17-11-2017,235,16,32,268.519,25,1,0,0,8
17-11-2017,225,26,28,268.519,24,0,1,2,4
21-11-2017,361,52,28,268.519,27,0,1,4,8
22-11-2017,291,31,40,268.519,25,0,1,1,2
23-11-2017,118,10,37,268.519,28,0,0,0,2
23-11-2017,225,26,28,268.519,24,0,1,2,3
27-11-2017,179,51,38,268.519,31,0,0,0,1
27-11-2017,118,10,37,268.519,28,0,0,0,8
28-11-2017,118,10,37,268.519,28,0,0,0,8
28-11-2017,225,26,28,268.519,24,0,1,2,2
28-11-2017,291,31,40,268.519,25,0,1,1,0
29-11-2017,289,36,33,268.519,30,0,2,1,0
30-11-2017,248,25,47,268.519,32,0,2,1,4
30-11-2017,235,20,43,268.519,38,0,1,0,0
24-11-2017,225,26,28,268.519,24,0,1,2,2
24-11-2017,369,17,31,268.519,25,0,3,0,8
27-11-2017,361,52,28,268.519,27,0,1,4,2
05-12-2017,179,51,38,280.549,31,0,0,0,32
06-12-2017,291,31,40,280.549,25,0,1,1,1
06-12-2017,225,26,28,280.549,24,0,1,2,3
08-12-2017,179,26,30,280.549,19,1,0,0,1
08-12-2017,225,26,28,280.549,24,0,1,2,3
13-12-2017,225,26,28,280.549,24,0,1,2,3
14-12-2017,361,52,28,280.549,27,0,1,4,4
15-12-2017,179,22,40,280.549,22,1,2,0,2
15-12-2017,235,20,43,280.549,38,0,1,0,8
18-12-2017,233,51,31,280.549,21,1,1,8,8
19-12-2017,179,26,30,280.549,19,1,0,0,16
19-12-2017,225,26,28,280.549,24,0,1,2,2
21-12-2017,225,26,28,280.549,24,0,1,2,3
18-12-2017,225,26,28,280.549,24,0,1,2,2
19-12-2017,155,12,34,280.549,25,0,2,0,80
01-01-2018,179,26,30,313.532,19,1,0,0,24
04-01-2018,179,26,30,313.532,19,1,0,0,16
04-01-2018,179,22,40,313.532,22,1,2,0,2
05-01-2018,179,22,40,313.532,22,1,2,0,2
08-01-2018,179,26,30,313.532,19,1,0,0,3
10-01-2018,179,22,40,313.532,22,1,2,0,2
11-01-2018,289,48,49,313.532,36,0,0,2,8
12-01-2018,179,22,40,313.532,22,1,2,0,3
15-01-2018,179,26,30,313.532,19,1,0,0,2
16-01-2018,155,12,34,313.532,25,0,2,0,8
17-01-2018,179,26,30,313.532,19,1,0,0,2
17-01-2018,179,51,38,313.532,31,0,0,0,3
17-01-2018,289,36,33,313.532,30,0,2,1,8
18-01-2018,179,51,38,313.532,31,0,0,0,3
26-01-2018,179,51,38,313.532,31,0,0,0,2
06-02-2018,179,51,38,264.249,31,0,0,0,8
06-02-2018,225,26,28,264.249,24,0,1,2,3
07-02-2018,248,25,47,264.249,32,0,2,1,8
07-02-2018,179,51,38,264.249,31,0,0,0,2
08-02-2018,225,26,28,264.249,24,0,1,2,3
08-02-2018,179,51,38,264.249,31,0,0,0,2
08-02-2018,179,26,30,264.249,19,1,0,0,2
09-02-2018,225,15,41,264.249,28,1,2,2,2
09-02-2018,179,51,38,264.249,31,0,0,0,2
12-02-2018,233,51,31,264.249,21,1,1,8,2
12-02-2018,179,51,38,264.249,31,0,0,0,2
13-02-2018,225,26,28,264.249,24,0,1,2,8
14-02-2018,179,51,38,264.249,31,0,0,0,3
15-02-2018,179,51,38,264.249,31,0,0,0,3
15-02-2018,225,26,28,264.249,24,0,1,2,3
15-02-2018,179,26,30,264.249,19,1,0,0,2
16-02-2018,179,22,40,264.249,22,1,2,0,2
16-02-2018,179,51,38,264.249,31,0,0,0,3
21-02-2018,233,51,31,264.249,21,1,1,8,3
21-02-2018,179,26,30,264.249,19,1,0,0,2
21-02-2018,179,51,38,264.249,31,0,0,0,2
22-02-2018,179,51,38,264.249,31,0,0,0,8
23-02-2018,179,51,38,264.249,31,0,0,0,2
26-02-2018,155,12,34,264.249,25,0,2,0,5
26-02-2018,235,16,32,264.249,25,1,0,0,3
26-02-2018,179,51,38,264.249,31,0,0,0,2
26-02-2018,225,26,28,264.249,24,0,1,2,2
27-02-2018,179,51,38,264.249,31,0,0,0,2
27-02-2018,248,25,47,264.249,32,0,2,1,2
27-02-2018,225,26,28,264.249,24,0,1,2,2
28-02-2018,179,51,38,264.249,31,0,0,0,2
22-02-2018,179,51,38,264.249,31,0,0,0,2
23-02-2018,235,16,32,264.249,25,1,0,0,2
05-03-2018,179,51,38,222.196,31,0,0,0,2
05-03-2018,248,25,47,222.196,32,0,2,1,2
06-03-2018,228,14,58,222.196,22,0,2,1,3
06-03-2018,248,25,47,222.196,32,0,2,1,3
06-03-2018,228,14,58,222.196,22,0,2,1,112
07-03-2018,179,51,38,222.196,31,0,0,0,2
08-03-2018,225,26,28,222.196,24,0,1,2,2
08-03-2018,179,51,38,222.196,31,0,0,0,3
08-03-2018,225,26,28,222.196,24,0,1,2,2
09-03-2018,179,26,30,222.196,19,1,0,0,3
12-03-2018,235,16,32,222.196,25,1,0,0,3
12-03-2018,361,52,28,222.196,27,0,1,4,8
13-03-2018,179,51,38,222.196,31,0,0,0,8
14-03-2018,179,51,38,222.196,31,0,0,0,2
15-03-2018,179,51,38,222.196,31,0,0,0,3
16-03-2018,179,26,30,222.196,19,1,0,0,2
19-03-2018,179,51,38,222.196,31,0,0,0,4
19-03-2018,248,25,47,222.196,32,0,2,1,2
19-03-2018,179,51,38,222.196,31,0,0,0,3
19-03-2018,225,26,28,222.196,24,0,1,2,8
20-03-2018,179,51,38,222.196,31,0,0,0,2
21-03-2018,289,36,33,222.196,30,0,2,1,8
21-03-2018,228,14,58,222.196,22,0,2,1,2
21-03-2018,179,51,38,222.196,31,0,0,0,2
22-03-2018,248,25,47,222.196,32,0,2,1,3
22-03-2018,179,51,38,222.196,31,0,0,0,3
23-03-2018,179,26,30,222.196,19,1,0,0,2
23-03-2018,179,51,38,222.196,31,0,0,0,3
27-03-2018,179,51,38,222.196,31,0,0,0,3
28-03-2018,118,15,46,222.196,25,0,2,0,8
28-03-2018,155,12,34,222.196,25,0,2,0,24
28-03-2018,179,51,38,222.196,31,0,0,0,3
29-03-2018,179,51,38,222.196,31,0,0,0,3
26-03-2018,179,26,30,222.196,19,1,0,0,2
26-03-2018,289,36,33,222.196,30,0,2,1,104
28-03-2018,369,17,31,222.196,25,0,3,0,8
02-04-2018,225,26,28,246.288,24,0,1,2,8
02-04-2018,118,10,37,246.288,28,0,0,0,8
03-04-2018,361,52,28,246.288,27,0,1,4,8
04-04-2018,248,25,47,246.288,32,0,2,1,8
05-04-2018,189,29,33,246.288,25,0,2,2,8
06-04-2018,179,26,30,246.288,19,1,0,0,2
09-04-2018,369,17,31,246.288,25,0,3,0,24
10-04-2018,179,22,40,246.288,22,1,2,0,2
10-04-2018,118,13,50,246.288,31,0,1,0,3
10-04-2018,361,52,28,246.288,27,0,1,4,2
11-04-2018,118,10,37,246.288,28,0,0,0,2
13-04-2018,235,11,37,246.288,29,1,1,1,8
13-04-2018,179,26,30,246.288,19,1,0,0,2
16-04-2018,225,26,28,246.288,24,0,1,2,8
17-04-2018,235,16,32,246.288,25,1,0,0,3
20-04-2018,179,26,30,246.288,19,1,0,0,2
24-04-2018,155,12,34,246.288,25,0,2,0,4
26-04-2018,225,26,28,246.288,24,0,1,2,8
26-04-2018,118,13,50,246.288,31,0,1,0,2
27-04-2018,179,26,30,246.288,19,1,0,0,2
07-05-2018,235,11,37,237.656,29,1,1,1,8
09-05-2018,225,15,41,237.656,28,1,2,2,3
09-05-2018,235,16,32,237.656,25,1,0,0,2
09-05-2018,118,10,37,237.656,28,0,0,0,3
09-05-2018,235,20,43,237.656,38,0,1,0,8
10-05-2018,179,26,30,237.656,19,1,0,0,1
10-05-2018,291,31,40,237.656,25,0,1,1,2
10-05-2018,225,15,41,237.656,28,1,2,2,8
11-05-2018,300,26,43,237.656,25,0,2,1,64
11-05-2018,225,15,41,237.656,28,1,2,2,8
11-05-2018,179,26,30,237.656,19,1,0,0,2
14-05-2018,118,13,50,237.656,31,0,1,0,2
15-05-2018,118,13,50,237.656,31,0,1,0,3
15-05-2018,118,10,37,237.656,28,0,0,0,1
15-05-2018,118,13,50,237.656,31,0,1,0,0
16-05-2018,179,26,30,237.656,19,1,0,0,2
16-05-2018,378,49,36,237.656,21,0,2,4,0
18-05-2018,179,22,40,237.656,22,1,2,0,1
21-05-2018,155,12,34,237.656,25,0,2,0,48
21-05-2018,235,16,32,237.656,25,1,0,0,8
23-05-2018,291,31,40,237.656,25,0,1,1,8
23-05-2018,179,22,40,237.656,22,1,2,0,8
23-05-2018,225,26,28,237.656,24,0,1,2,3
24-05-2018,330,16,28,237.656,25,1,0,0,8
24-05-2018,235,16,32,237.656,25,1,0,0,2
31-05-2018,291,31,40,237.656,25,0,1,1,2
